bestObjID,class,z,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
1237678595944743503,GALAXY,0.8023611,22.96572,22.70786,21.82128,21.02942,21.05174,0.6481022,0.2034363,0.1381738,0.1027843,0.3888951
1237662226214158451,GALAXY,0.2356222,21.66678,19.00091,17.59575,17.0722,16.75772,0.4805441,0.01845,0.008709149,0.008030363,0.01910333
1237667255614767280,STAR,-0.00015518,20.21574,18.04274,17.16482,16.81053,16.68876,0.05007626,0.006212881,0.00524335,0.005201129,0.009141078
1237648721247077027,GALAXY,0.5152826,23.46441,22.33343,20.6627,19.72619,19.36593,0.6542796,0.1322427,0.04636673,0.03013126,0.08491099
1237680332181668321,GALAXY,0.4069654,25.60877,20.56669,18.69803,18.04728,17.62384,1.351748,0.05694895,0.01943165,0.01548057,0.03818597
1237678847182307368,GALAXY,0.2469027,21.73081,19.28386,17.83423,17.30592,16.95889,0.336388,0.01922647,0.009103387,0.008795391,0.01841376
1237661817634816072,GALAXY,0.08517901,19.43917,17.65887,16.78576,16.55923,16.07811,0.07663376,0.008671854,0.006127753,0.006999159,0.01395277
1237663783656358811,GALAXY,0.6064897,23.89694,23.55155,21.73832,20.53386,20.09149,0.7841378,0.3502764,0.1112931,0.05521284,0.1449131
1237661383845151183,GALAXY,0.5404962,24.55897,22.40419,20.47973,19.64291,19.11906,1.22637,0.1696898,0.04362593,0.03051346,0.05725885
1237661362380603820,GALAXY,0.5446184,26.55355,22.48244,20.86342,19.87927,19.56776,0.4278226,0.1951013,0.06713621,0.04880664,0.1356874
1237678854159073559,STAR,-0.001533098,18.50448,17.65305,17.39099,17.28109,17.26407,0.02099818,0.00584119,0.006017937,0.006509627,0.01253503
1237674650994737486,STAR,0.0008294222,22.5005,21.08254,20.75418,20.78827,20.61335,0.3325217,0.03984216,0.0423636,0.06151402,0.1659945
1237680247340204631,QSO,2.437222,21.33535,20.67246,20.56848,20.61208,20.01311,0.1686471,0.03469927,0.03918113,0.06337618,0.1295069
1237666215687291884,GALAXY,0.5036229,23.03252,21.49917,20.18816,19.3961,18.8756,0.5311162,0.07267272,0.0328751,0.02682895,0.05461118
1237678859549278619,GALAXY,0.6221713,26.5706,21.90775,20.73326,19.72359,19.01808,0.6041061,0.171731,0.1098901,0.06433015,0.1371103
1237652942620853605,GALAXY,0.4526836,22.87142,21.03502,19.42076,18.59416,18.19656,1.35491,0.1052686,0.03429138,0.02554801,0.0691131
1237657628994437839,GALAXY,0.606434,23.71882,22.6705,21.15349,19.76485,19.27454,1.278418,0.246652,0.1002234,0.04377441,0.1071252
1237655107823010158,QSO,0.7505778,21.38999,20.92008,20.78598,20.46828,20.04539,0.1159976,0.03847328,0.04838152,0.04312316,0.1156091
1237661464380441089,QSO,0.5304735,21.16474,20.46273,20.04665,19.4,19.00639,0.1525359,0.03423149,0.03421773,0.02718125,0.06823815
1237665024914883117,GALAXY,0.6930039,23.44942,22.32405,20.99722,19.64644,19.01219,0.7667735,0.1471857,0.05941729,0.02660972,0.05908023
1237665549975421592,STAR,-0.0002445228,26.00702,21.41171,19.91727,19.28439,18.95041,0.4651552,0.05963342,0.02323993,0.01821585,0.04316163
