model,mag_bin,n_true_qso,raw_promised_purity,raw_achieved_purity,raw_completeness,raw_n_selected,rep_temperature_promised_purity,rep_temperature_achieved_purity,rep_temperature_completeness,rep_temperature_n_selected,bright_temperature_promised_purity,bright_temperature_achieved_purity,bright_temperature_completeness,bright_temperature_n_selected,seed
HistGB,"[18,19)",1571,0.9864005752209719,0.9852713178294573,0.8090388287714831,1290,0.9858903068870859,0.986013986013986,0.8077657542966263,1287,0.9866685032017277,0.9852941176470589,0.81031190324634,1292,3
HistGB,"[19,20)",3962,0.9855833268190746,0.9903412749517064,0.7763755678950025,3106,0.985118185329685,0.9903100775193798,0.773851590106007,3096,0.9858353928020742,0.9903598971722365,0.7778899545683998,3112,3
HistGB,"[20,22)",13245,0.9661923006214892,0.9576538303412361,0.5275953189882975,7297,0.9657664476825814,0.9585362459997218,0.5201208003020008,7187,0.9664691470896914,0.9569117846948484,0.531521328803322,7357,3
MLP,"[14,17)",93,0.9642651859307515,0.9666666666666667,0.3118279569892473,30,0.9600178000392072,1.0,0.3010752688172043,28,0.9604831998775162,1.0,0.3010752688172043,28,3
MLP,"[17,18)",316,0.9710085718939339,0.9761904761904762,0.6487341772151899,210,0.9675532681402196,0.9849246231155779,0.620253164556962,199,0.9679413038548961,0.9849246231155779,0.620253164556962,199,3
MLP,"[18,19)",1571,0.9857286231478822,0.989763779527559,0.8001273074474857,1270,0.9830701030177336,0.991207034372502,0.7893061744112031,1251,0.9832877376459168,0.991207034372502,0.7893061744112031,1251,3
MLP,"[19,20)",3962,0.9871559408538619,0.9923866269447202,0.756688541140838,3021,0.9850673605103228,0.993941433860653,0.7453306410903584,2971,0.9851760548787007,0.9939475453934096,0.7460878344270571,2974,3
MLP,"[20,22)",13245,0.9657728407213868,0.9683749594550762,0.4508116270290676,6166,0.9630591188643753,0.9734126290012244,0.420158550396376,5717,0.9631411054762271,0.9731987469544031,0.42219705549263875,5746,3
LogReg,"[14,17)",73,0.9985254833848648,0.0,0.0,1,0.9985979449057978,0.0,0.0,1,0.9604670537570281,0.0,0.0,2,4
LogReg,"[17,18)",317,0.9205970451264636,1.0,0.0031545741324921135,1,0.9223104693595122,1.0,0.0031545741324921135,1,0.9280165058204733,0.2,0.0031545741324921135,5,4
LogReg,"[18,19)",1596,0.9334185361622988,0.0,0.0,3,0.9211064281927683,0.0,0.0,5,0.931767107086892,0.0,0.0,48,4
LogReg,"[19,20)",3910,0.9248933958125019,0.03125,0.0002557544757033248,32,0.9212833734278151,0.025,0.0002557544757033248,40,0.938986105393005,0.19254658385093168,0.007928388746803069,161,4
LogReg,"[20,22)",13291,0.9232371519508441,0.7667820069204152,0.08336468286810624,1445,0.9234707645246499,0.7729941291585127,0.08915807689413889,1533,0.9430207878696742,0.8380989685337511,0.4829583928974494,7659,4
RandomForest,"[14,17)",73,0.9430399450364088,1.0,0.2054794520547945,15,0.9478034081496239,1.0,0.2191780821917808,16,0.952343652462185,1.0,0.2602739726027397,19,4
RandomForest,"[17,18)",317,0.9683420189975199,0.9775280898876404,0.5488958990536278,178,0.9713711424443767,0.978021978021978,0.5615141955835962,182,0.9775221481091149,0.972972972972973,0.5678233438485805,185,4
RandomForest,"[18,19)",1596,0.9820394846990881,0.9950779327317474,0.7600250626566416,1219,0.9838312984773377,0.993517017828201,0.768170426065163,1234,0.9857031038960442,0.9921445404556166,0.7913533834586466,1273,4
RandomForest,"[19,20)",3910,0.9852022887360492,0.9912897822445561,0.7567774936061381,2985,0.9868277167103889,0.991041804910418,0.7639386189258311,3014,0.9895126036007968,0.9898427260812582,0.7726342710997443,3052,4
RandomForest,"[20,22)",13291,0.9631841122863024,0.9630965593784684,0.5223083289443985,7208,0.9654443006345691,0.9606957907316426,0.5443533217967046,7531,0.9693110316747933,0.9541738915035918,0.5796403581370853,8074,4
HistGB,"[14,17)",73,0.9630227939263194,0.8620689655172413,0.3424657534246575,29,0.962365278326266,0.8620689655172413,0.3424657534246575,29,0.9661110545321691,0.8620689655172413,0.3424657534246575,29,4
HistGB,"[17,18)",317,0.974924832048176,0.9656862745098039,0.6214511041009464,204,0.9744456689634546,0.9656862745098039,0.6214511041009464,204,0.9771631032815905,0.9656862745098039,0.6214511041009464,204,4
HistGB,"[18,19)",1596,0.9856114170168736,0.9883630721489527,0.7982456140350878,1289,0.9857111059593625,0.9890880748246298,0.7951127819548872,1283,0.9866196416634008,0.9876447876447877,0.8013784461152882,1295,4
HistGB,"[19,20)",3910,0.9854256344563807,0.9900891972249752,0.7664961636828644,3027,0.9851799296769501,0.9900826446280991,0.7659846547314578,3025,0.9864695926454252,0.9891447368421052,0.7690537084398977,3040,4
HistGB,"[20,22)",13291,0.9640372584293417,0.9631323631323632,0.5228350011285833,7215,0.963901524669975,0.9641161686679698,0.5195244902565646,7162,0.9650272078137421,0.9620661824051655,0.538108494469942,7434,4
MLP,"[14,17)",73,0.9527370715391316,1.0,0.3150684931506849,23,0.9557765137714427,1.0,0.3150684931506849,23,0.9539000199401299,1.0,0.3150684931506849,23,4
MLP,"[17,18)",317,0.9780558982834756,0.9852941176470589,0.6340694006309149,204,0.9793443584241363,0.9853658536585366,0.637223974763407,205,0.9783157635104686,0.9853658536585366,0.637223974763407,205,4
MLP,"[18,19)",1596,0.9871043771487563,0.9916349809885932,0.8170426065162907,1315,0.9874262000625336,0.9909502262443439,0.8233082706766918,1326,0.9873720456160398,0.9916476841305999,0.818295739348371,1317,4
MLP,"[19,20)",3910,0.9883191960915613,0.9853409815168898,0.7907928388746803,3138,0.9889537721936061,0.9853921879961892,0.7936061381074169,3149,0.988597244818525,0.985354982489653,0.7915601023017903,3141,4
MLP,"[20,22)",13291,0.9676927300279493,0.9604610642005094,0.5391618388383116,7461,0.9684232017823216,0.959114139693356,0.550673388006922,7631,0.9679553544691022,0.9600106284044108,0.5436761718456098,7527,4
LogReg,"[14,17)",103,,,0.0,0,,,0.0,0,0.9179939107214309,0.0,0.0,1,5
LogReg,"[17,18)",298,0.9922313268130745,0.0,0.0,2,0.9923872915089337,0.0,0.0,2,0.9492366261466654,0.0,0.0,5,5
LogReg,"[18,19)",1680,0.9318579725395746,0.0,0.0,9,0.9325322920014101,0.0,0.0,9,0.9384451264324074,0.041666666666666664,0.0011904761904761906,48,5
LogReg,"[19,20)",3984,0.9250550693466494,0.023255813953488372,0.000251004016064257,43,0.9252734747604232,0.022727272727272728,0.000251004016064257,44,0.9387617734085482,0.20481927710843373,0.00853413654618474,166,5
LogReg,"[20,22)",13123,0.9228387312927339,0.775357385976855,0.0867941781604816,1469,0.9229097060499589,0.7767564018384767,0.09014707002971882,1523,0.9433959947234524,0.843233883857219,0.48243541873047324,7508,5
RandomForest,"[14,17)",103,0.9493333864691059,1.0,0.22330097087378642,23,0.951823927742597,1.0,0.2524271844660194,26,0.9528330219694118,0.96875,0.30097087378640774,32,5
RandomForest,"[17,18)",298,0.9717675254247604,0.9878048780487805,0.5436241610738255,164,0.9745739748331133,0.9881656804733728,0.5604026845637584,169,0.9775578104593249,0.9887640449438202,0.5906040268456376,178,5
RandomForest,"[18,19)",1680,0.9835576583979281,0.9929078014184397,0.75,1269,0.984646211917829,0.9907763259031515,0.7672619047619048,1301,0.9874761259428642,0.9901589704769115,0.7785714285714286,1321,5
RandomForest,"[19,20)",3984,0.9843468696611295,0.9923740053050398,0.7512550200803213,3016,0.9864580735984968,0.9924540682414699,0.7592871485943775,3048,0.9885284739482164,0.9913183279742765,0.7738453815261044,3110,5
RandomForest,"[20,22)",13123,0.9632110221580948,0.9634129114281679,0.5196982397317687,7079,0.9656460674068357,0.9588949686373949,0.5475120018288501,7493,0.9687884313706686,0.9516288252714709,0.5876705021717595,8104,5
