model,accuracy,ECE,ECE10,ECE_quantile,MCE,Brier,NLL,seed
HistGB,0.9245392453924539,0.001502166065160106,0.0011466368230911407,0.0019357704184726344,0.037144986222948984,0.11364236694443092,0.210802714596517,6
MLP,0.9267292672926729,0.00521124233778157,0.004893161368339222,0.004893161368339185,0.08741056098227828,0.11077741512770874,0.20495680903988825,6
LogReg,0.8108981089810898,0.07636517238601671,0.07636517238601667,0.07852766776977321,0.17346049912892963,0.31035657443494946,0.551821133804348,7
RandomForest,0.9240992409924099,0.004267491288970871,0.004231445354345286,0.0040744272037405655,0.034212856472796205,0.11367380376421138,0.21174928808461457,7
HistGB,0.9238492384923849,0.0029991418241683806,0.0024933867868188013,0.0029663848488844188,0.03506350313994644,0.11368541254576549,0.2112533137516409,7
MLP,0.9256992569925699,0.0033180057794936933,0.00333771762464123,0.0035005470087193483,0.03363400269828809,0.11118811328261648,0.2061127458230526,7
LogReg,0.8081680816808168,0.07599312468783183,0.07599312468783184,0.0763287906866694,0.14995668106410526,0.3126130293682057,0.5564928270963935,8
RandomForest,0.9233192331923319,0.0038154408507148382,0.0034852017224972724,0.003966789062354386,0.02895518800880631,0.11484906507284143,0.2123533275387054,8
HistGB,0.923009230092301,0.0023772191447612168,0.0019518900067533622,0.0034512131691505628,0.08297989945544687,0.11536606346044138,0.21285463068694133,8
MLP,0.9249792497924979,0.005703883313213316,0.005446753060530659,0.004923542911142902,0.04010527388821572,0.11338107164242739,0.2091814738887707,8
LogReg,0.8097280972809728,0.07562064970081597,0.07562064970081593,0.0773187315735686,0.15239377631403606,0.3109268547761263,0.5524485345207463,9
RandomForest,0.9233692336923369,0.004106166552387658,0.004106166552387537,0.004182215257609858,0.03799104666930486,0.11485996912095531,0.21291216343761918,9
HistGB,0.9240092400924009,0.0021522410399897876,0.0017916419985110035,0.0014042791042449287,0.020848054918782555,0.11444360920202883,0.212055933544442,9
MLP,0.9243092430924309,0.003971060286196015,0.003807071111677482,0.0038260566381039403,0.12499802401247034,0.11324273560314671,0.20998100892794921,9
LogReg,0.8101281012810128,0.0778324515920639,0.07783245159206398,0.07891718265285241,0.15883747848224467,0.31164358448288204,0.5540410514670322,10
RandomForest,0.9242992429924299,0.005195662329221539,0.005167776643445841,0.005088421804331183,0.041049777324810244,0.11368832342240309,0.2102777975860037,10
HistGB,0.9235492354923549,0.003294149128470604,0.002436441064299384,0.003933919157121193,0.022762625444402884,0.11403264912893646,0.20995095895555643,10
MLP,0.9240992409924099,0.002886488529101253,0.002720219665268333,0.002812941134477114,0.04934378776856152,0.11284168494769715,0.2072398109419898,10
LogReg,0.8104981049810498,0.07640098591909011,0.07640098591909011,0.0781649912531852,0.17891675468652457,0.311285609245937,0.5531247840579285,11
RandomForest,0.9252092520925209,0.0057121815053678025,0.005712181505367734,0.00569762410676428,0.025922642601829415,0.1129745694805368,0.21080173646080916,11
HistGB,0.924259242592426,0.0023580979094397197,0.0019228102628521754,0.0018429250969205391,0.12198892470452044,0.11416608933526806,0.2122793903898882,11
MLP,0.926479264792648,0.0038600920683030965,0.00366286124647954,0.003648490175289463,0.035096650522957906,0.11136327485474552,0.20670101181667327,11
