model,mag_bin,n,ECE_raw,ECE_rep_platt,ECE_bright_platt,ECE_rep_isotonic,ECE_bright_isotonic,ECE_rep_temperature,ECE_bright_temperature,cwECE_raw,cwECE_star,cwECE_galaxy,cwECE_qso,seed
RandomForest,"[19,20)",16085,0.005808562559364727,0.029679189625445072,0.035110818515176064,0.004195239716615496,0.014386127492917265,0.003777925182526108,0.008841943091653056,0.007240497089885319,0.010089969647896897,0.005172056041899262,0.006459465579859797,8
RandomForest,"[20,22)",46045,0.0036650043963887286,0.032361682686401154,0.06426108189670152,0.008154091498189582,0.0269229849228729,0.007506841259795657,0.016826961595810097,0.004654170656226314,0.0048017826410543165,0.004565957680601784,0.004594771647022841,8
HistGB,"[14,17)",11713,0.004265840389729382,0.014116462041819825,0.010048948689059624,0.015022680401006322,0.009596497050276823,0.0042503531057735845,0.0038656671988002668,0.0033988849614797595,0.004130983742200838,0.003797099979362178,0.002268571162876262,8
HistGB,"[17,18)",14915,0.002960378872839697,0.01358565615613768,0.008450229603089299,0.014712506867591124,0.008028533954509368,0.0028738726447735006,0.0027740649316928853,0.002682320077833481,0.0030885821117964053,0.0035661201152889744,0.0013922580064150627,8
HistGB,"[18,19)",11241,0.005461422184635208,0.011745194841718853,0.007225716871302937,0.012992132391207705,0.007099652094397963,0.005463266719150624,0.005317753517280397,0.00593928420036302,0.008176027326791804,0.0072775843937455086,0.0023642408805517466,8
HistGB,"[19,20)",16085,0.0037842427716346574,0.00803747357744725,0.005553125862662021,0.008960340742068553,0.0075107204457220125,0.003740967301883743,0.0037756990631385083,0.005751816439593749,0.0068602204832971,0.005589191964823851,0.004806036870660297,8
HistGB,"[20,22)",46045,0.003908168788385153,0.008216397880807792,0.005800226210702926,0.008593072790906436,0.007945342197039856,0.004141888574721724,0.005806605567849623,0.004551577304749633,0.0037680958511983075,0.004624410543892577,0.005262225519158015,8
MLP,"[14,17)",11713,0.004165465257772397,0.03170999847567446,0.010479926693247061,0.0053120877287015054,0.0038645505549559527,0.005195752951792029,0.005175719137243023,0.0054356146398349785,0.002346980990118638,0.008029438338420125,0.005930424590966171,8
MLP,"[17,18)",14915,0.0022597391589438045,0.02942614649304856,0.006472878862074856,0.0024278579836670045,0.002425791418771645,0.0014582178969513907,0.0014890912812528054,0.003463533146317328,0.0035526551882537807,0.004205216574684191,0.0026327276760140126,8
MLP,"[18,19)",11241,0.004211855369017475,0.034155448822944426,0.011204466287250607,0.005169959007078787,0.0045274224809202235,0.004564847487876846,0.004266829887934756,0.0050210550547731955,0.005263294805980515,0.005502574201113891,0.004297296157225182,8
MLP,"[19,20)",16085,0.008808467479547676,0.03186665250523153,0.03634270021497025,0.005296631362478506,0.011296878315175781,0.0047610526673900425,0.004673123386264863,0.008766433419570098,0.012004004095851216,0.007789861263293391,0.006505434899565685,8
MLP,"[20,22)",46045,0.00894886085511986,0.0303567620937027,0.06287997194576855,0.003993747016052525,0.008516721969940893,0.003480178044992289,0.0035470806328773705,0.009004353365121688,0.012813114119844114,0.005815316201836661,0.008384629773684288,8
LogReg,"[14,17)",11770,0.16958996501249932,0.1495685948662145,0.14416132249113242,0.14831147700411246,0.1192932817357162,0.16978937101441033,0.11817177909140532,0.11753547746625227,0.17649876652146354,0.15842550322543522,0.01768216265185809,9
