model,mag_bin,ECE_raw_mean,ECE_raw_lo,ECE_raw_hi,ECE_rep_platt_mean,ECE_rep_platt_lo,ECE_rep_platt_hi,ECE_bright_platt_mean,ECE_bright_platt_lo,ECE_bright_platt_hi,ECE_rep_isotonic_mean,ECE_rep_isotonic_lo,ECE_rep_isotonic_hi,ECE_bright_isotonic_mean,ECE_bright_isotonic_lo,ECE_bright_isotonic_hi,ECE_rep_temperature_mean,ECE_rep_temperature_lo,ECE_rep_temperature_hi,ECE_bright_temperature_mean,ECE_bright_temperature_lo,ECE_bright_temperature_hi,cwECE_raw_mean,cwECE_raw_lo,cwECE_raw_hi,cwECE_star_mean,cwECE_star_lo,cwECE_star_hi,cwECE_galaxy_mean,cwECE_galaxy_lo,cwECE_galaxy_hi,cwECE_qso_mean,cwECE_qso_lo,cwECE_qso_hi
HistGB,"[14,17)",0.0026519505632251706,0.0023181023596067067,0.0029857987668436346,0.012800102730294494,0.012094696169886832,0.013505509290702156,0.008745613610334579,0.008037170680647491,0.009454056540021667,0.013955290784126781,0.013310576878339276,0.014600004689914287,0.008338630468288194,0.007709795778037061,0.008967465158539328,0.002527446574992542,0.002187597386771103,0.002867295763213981,0.002637277281347781,0.0022891370981464394,0.0029854174645491225,0.002984242254137347,0.0027374193415528386,0.003231065166721855,0.00344355380919465,0.002999719275894886,0.0038873883424944138,0.0034252439447771225,0.0031380918834378437,0.0037123960061164014,0.0020839290084402654,0.0018113898379588152,0.0023564681789217156
HistGB,"[17,18)",0.003523309641075222,0.003160678201685615,0.003885941080464829,0.014008609011887701,0.013395441589170422,0.01462177643460498,0.00905752260461315,0.008540017089169037,0.009575028120057262,0.015166175717046227,0.014524009109512426,0.01580834232458003,0.00856347178964327,0.00811068390278602,0.009016259676500521,0.0034495200270344,0.003140399881228377,0.003758640172840423,0.002477974562676253,0.0021630252061332527,0.002792923919219253,0.0033555331545094013,0.0031338393288611703,0.0035772269801576323,0.0042223259140096794,0.003884738334828659,0.0045599134931907,0.0040760569376016315,0.003729876356183311,0.004422237519019952,0.001768216611916891,0.0015648735891303353,0.001971559634703447
HistGB,"[18,19)",0.006256909691394559,0.005694477795666735,0.006819341587122384,0.010772448390599728,0.00984136224786164,0.011703534533337816,0.006615725098173868,0.005897845221448626,0.00733360497489911,0.01256301220278754,0.011719720670196812,0.013406303735378268,0.005709658357305051,0.004946623475130939,0.006472693239479164,0.006078219756123758,0.005604804663207653,0.006551634849039863,0.005002764539845701,0.004482521342898742,0.00552300773679266,0.0055587506874375725,0.005133823230276174,0.005983678144598971,0.007171398251018419,0.006619156629912911,0.007723639872123928,0.005865328381931463,0.005164403067427458,0.0065662536964354685,0.0036395254293628324,0.003143830752658946,0.004135220106066719
HistGB,"[19,20)",0.005302555471867207,0.0046850856753044125,0.005920025268430002,0.010149764253193453,0.009141639635901434,0.011157888870485471,0.0052777788309005666,0.004554637235693307,0.006000920426107826,0.010951098637482773,0.010180491747052484,0.011721705527913061,0.00605823388067746,0.0053212470066434136,0.006795220754711507,0.0050331895603081805,0.004449676594624518,0.005616702525991843,0.004518878429131059,0.003952259374395011,0.005085497483867107,0.005498569175241163,0.00513471866951332,0.005862419680969006,0.0064242452734934825,0.0059594172877599026,0.0068890732592270625,0.0052486435459920796,0.004726495820803359,0.0057707912711808,0.0048228187062379245,0.0043364656380986515,0.0053091717743771975
HistGB,"[20,22)",0.004530215188712341,0.0039901946780451555,0.005070235699379526,0.008257276595707418,0.007595083542275783,0.008919469649139054,0.007018644826878256,0.006338628511878824,0.007698661141877688,0.008698087229008356,0.007909705780029658,0.009486468677987053,0.009452373493407048,0.008423933893362347,0.010480813093451748,0.0049032164775791465,0.004461206161871372,0.005345226793286921,0.008634685104123333,0.007728293145061715,0.00954107706318495,0.004394864996073477,0.0041153500830687795,0.004674379909078175,0.0041460211752594,0.0037717465047970916,0.004520295845721708,0.0041819472367443785,0.003734488077441979,0.004629406396046779,0.004856626576216654,0.004399528588492876,0.005313724563940433
MLP,"[14,17)",0.003240322876179149,0.0026445394430329116,0.0038361063093253866,0.029703657286351926,0.02907882907898024,0.030328485493723613,0.008060821155430017,0.007340346880007078,0.008781295430852957,0.0031941307919166858,0.002591350943025445,0.0037969106408079264,0.002860356549354219,0.002373916417189315,0.003346796681519123,0.0030877858991226565,0.002464514348527053,0.0037110574497182603,0.0026936705398703095,0.002139912917389233,0.003247428162351386,0.004526362598180676,0.0036132119207133075,0.005439513275648044,0.004879562709180661,0.003775450987494255,0.005983674430867067,0.006035586438713337,0.004582085714581939,0.007489087162844735,0.0026639386466480283,0.0018985114516216553,0.0034293658416744014
MLP,"[17,18)",0.00292773599130543,0.0025059051606406515,0.0033495668219702085,0.029509881210550586,0.028990385674551172,0.03002937674655,0.006245819563257396,0.00575001327998244,0.006741625846532352,0.003031112520884379,0.0026303243232147955,0.0034319007185539623,0.0024973234827232174,0.0021451721856591013,0.0028494747797873335,0.0027376812254286554,0.002405032759071165,0.003070329691786146,0.0025469243129012794,0.0021513813210702693,0.0029424673047322896,0.00385162461641352,0.0031608340344232207,0.00454241519840382,0.0047201215949032715,0.0036460968473592988,0.005794146342447244,0.004948085642411811,0.003893808881443064,0.006002362403380558,0.0018866666119254783,0.0016235830532439657,0.002149750170606991
MLP,"[18,19)",0.004121061909493063,0.0035418194928389488,0.004700304326147177,0.03055099950281348,0.029598928318022123,0.03150307068760484,0.011623886421650086,0.011002919633225607,0.012244853210074565,0.004005440279667295,0.003557198779620258,0.004453681779714333,0.004222986738723836,0.003691575112885253,0.004754398364562419,0.0035398439481816985,0.003123208223088831,0.003956479673274566,0.0038816766871928006,0.003237790095513355,0.004525563278872246,0.005028374416588326,0.004581032064972047,0.005475716768204604,0.005471608810818668,0.004803459568606288,0.006139758053031047,0.005605021088306707,0.00495807405047319,0.006251968126140225,0.004008493350639602,0.003553534493337479,0.004463452207941724
MLP,"[19,20)",0.005247290487827049,0.004569828562440586,0.005924752413213511,0.031274991186890866,0.03054239155924837,0.03200759081453336,0.03132918835759414,0.03020704081763286,0.032451335897555424,0.004621941864935476,0.0042722484526682486,0.004971635277202703,0.006233618506348919,0.005101551735222734,0.007365685277475104,0.004370253320387213,0.003819869618049973,0.004920637022724452,0.0051569855464504094,0.004393154303881234,0.005920816789019585,0.006498453642014854,0.005837948852215229,0.007158958431814479,0.007039438284244501,0.005953597732257079,0.008125278836231922,0.006953249178355157,0.005939275663825342,0.007967222692884971,0.005502673463444901,0.004736892092946039,0.006268454833943763
MLP,"[20,22)",0.006032785289120051,0.00505206444437476,0.0070135061338653425,0.031421381207198645,0.030661523796380177,0.03218123861801711,0.06192145874788283,0.060861608900474304,0.06298130859529136,0.004154321788490741,0.003517213594692997,0.004791429982288486,0.009666808008850643,0.007457095107088866,0.01187652091061242,0.004384719424939202,0.0037360736265899573,0.005033365223288447,0.0065246045755245705,0.005007647802734313,0.00804156134831483,0.00678877820977086,0.00557909928673266,0.00799845713280906,0.0066464402943920975,0.005507922034072442,0.007784958554711753,0.007192161943241469,0.005630453197272787,0.008753870689210151,0.00652773239167901,0.0048488133753328486,0.008206651408025172
